OTT,RMSE_MORE,R_2_MORE,RMSE_LESS,R_2_LESS,RMSE_SUM,R_2_PRODUCT,final_score
307,95.37161273457365,0.9282370096640565,48.076187700855385,0.9000590113170199,143.44780043542903,0.4177340425930489,83.52477085845634
308,92.83559713090952,0.9287539143063733,44.427859134541286,0.9084663713451376,137.2634562654508,0.42187084920125195,79.35600540644616
309,92.41235454971985,0.9303645486644078,46.593539386442124,0.9014821634031281,139.00589393616198,0.4193535230417826,80.71328259046008
310,94.85396982403998,0.92657068961899,49.55825644081114,0.8977884867416226,144.4122262648511,0.41593224864608735,84.34652426252403
311,95.07420728218389,0.926219320298758,46.20413906136514,0.904935047404521,141.27834634354903,0.4190841622607699,82.07082892057588
312,94.26531627799612,0.9293183515449307,48.02726382170006,0.8955676573654026,142.29258009969618,0.4161337295198856,83.07983805980255
313,96.92098573379513,0.9261855319947309,51.70640449266701,0.8945396565994733,148.62739022646215,0.41425484386898354,87.05777389354459
314,96.98777426624781,0.9254738274721955,45.341072632632844,0.9156301332788938,142.32884689888067,0.4236958619972472,82.0247034249852
315,94.14288060399174,0.9313559286375558,51.691607984616176,0.898904787425294,145.8344885886079,0.41860015152461466,84.78814956790194
316,92.72274775136954,0.9292029685695223,48.99492045448929,0.9049311165093589,141.71766820585884,0.42043233990571427,82.13497735608796
317,94.4821718258392,0.9264389366521576,47.97700088164849,0.90497595161093,142.4591727074877,0.4192024791531022,82.73993433040891
318,95.38024058304669,0.9249855963670788,52.029949284375526,0.8993502956373126,147.41018986742222,0.4159430347764941,86.09594813698742
319,95.04980110817154,0.9199884593967315,49.704182609980236,0.9072886640093596,144.75398371815177,0.4173475501150447,84.34126324398805
320,95.98016501209099,0.9225238074479779,52.51355884668625,0.8934659435358745,148.49372385877723,0.4121218020279075,87.29622279226348
321,95.59860687825562,0.9184294804563059,49.186016583800956,0.9123000126741525,144.78462346205657,0.4189416133303016,84.12831972344235
322,98.57667820335685,0.9199736906872199,54.31407911145607,0.8946881342486966,152.8907573148129,0.41154477243941817,89.96936538759793
323,99.53556469553999,0.9191405742723662,51.339400731338856,0.9041923580901065,150.87496542687884,0.4155399416338127,88.1803910993901
324,97.03768973666347,0.9216346882975897,52.45984329968487,0.9068897642468176,149.49753303634833,0.41791053259594513,87.0209393833481
325,95.75879558431834,0.9211644769233696,52.999668216905455,0.9084550085265496,148.7584638012238,0.41841824136888717,86.51520898877847
326,97.88961403033116,0.9177418866725409,51.98095892656335,0.912402824843634,149.8705729568945,0.41867514493867625,87.12348910212424
327,97.44459011585701,0.9171081140586991,52.20266934142202,0.9143836162735818,149.64725945727903,0.4192943169234189,86.90101402367759
328,93.17000032918445,0.9220387402628641,56.32366724006809,0.8995466353310374,149.49366756925252,0.4147084232241639,87.49738440961048
329,99.8448428997672,0.9103955900235342,55.88843786935363,0.9013841749483215,155.73328076912082,0.41030808889497683,91.834655959398
330,97.97066599242149,0.9158011448562712,52.256730543845954,0.9174445245831135,150.22739653626743,0.4200983729776664,87.11711167471077
331,95.79559522633932,0.9189074270014121,57.57374961166948,0.9087540398493935,153.3693448380088,0.4175304182675725,89.33297813837142
332,99.88197631712117,0.9080525975740286,56.50592196415254,0.9070131173990259,156.38789828127372,0.4118078086439514,91.98614059162922
333,99.21629446565872,0.9097799373174538,58.30010085490627,0.9023327059137524,157.51639532056498,0.410462096312851,92.86188549364212
334,98.2406892423585,0.9138100655104358,58.22743171727629,0.9102795344755771,156.4681209596348,0.41591130051596803,91.3912612820233
335,98.2002197339558,0.9106283153813942,55.61336329181697,0.9154375043288803,153.81358302577277,0.416811656201978,89.70228873843998
336,100.69835639465268,0.912851092725845,55.06149691443432,0.9155992341662422,155.759853309087,0.4179028807038005,90.66736191321814
337,98.12922176487734,0.9104296776103687,58.33802537081364,0.9071999584417316,156.46724713569097,0.4129708828461228,91.85082994956218
338,99.33418192773195,0.9099145803160082,57.9249060125248,0.9109259566534536,157.25908794025673,0.41443240477364274,92.08582595266638
339,97.77028996515362,0.9074904211956982,57.86665380242631,0.9112328698804326,155.63694376757994,0.4134675504475793,91.28611786885101
340,97.75923220908709,0.9070326238603744,60.31371935351618,0.9074870515270269,158.07295156260327,0.411560180732937,93.01641904850948
